sex,embarked,class,who,adult_male,deck,embark_town,alive,alone,survived,pclass,age,sibsp,fare
male,S,Third,man,True,unknown,Southampton,no,False,0,3,22.0,1.0,7.25
female,C,First,woman,False,C,Cherbourg,yes,False,1,1,38.0,1.0,13.0
female,S,Third,woman,False,unknown,Southampton,yes,True,1,3,26.0,0.0,7.925
female,S,First,woman,False,C,Southampton,yes,False,1,1,35.0,1.0,53.1
male,S,Third,man,True,unknown,Southampton,no,True,0,3,35.0,0.0,8.05
male,Q,Third,man,True,unknown,Queenstown,no,True,0,3,0.0,0.0,8.4583
male,S,First,man,True,E,Southampton,no,True,0,1,54.0,0.0,51.8625
male,S,Third,child,False,unknown,Southampton,no,False,0,3,2.0,0.0,21.075
female,S,Third,woman,False,unknown,Southampton,yes,False,1,3,27.0,0.0,11.1333
female,C,Second,child,False,unknown,Cherbourg,yes,False,1,2,14.0,1.0,30.0708
female,S,Third,child,False,G,Southampton,yes,False,1,3,4.0,1.0,16.7
female,S,First,woman,False,C,Southampton,yes,True,1,1,58.0,0.0,26.55
male,S,Third,man,True,unknown,Southampton,no,True,0,3,20.0,0.0,8.05
male,S,Third,man,True,unknown,Southampton,no,False,0,3,39.0,1.0,31.275
female,S,Third,child,False,unknown,Southampton,no,True,0,3,14.0,0.0,7.8542
female,S,Second,woman,False,unknown,Southampton,yes,True,1,2,55.0,0.0,16.0
male,Q,Third,child,False,unknown,Queenstown,no,False,0,3,2.0,0.0,29.125
male,S,Second,man,True,unknown,Southampton,yes,True,1,2,0.0,0.0,13.0
female,S,Third,woman,False,unknown,Southampton,no,False,0,3,31.0,1.0,18.0
female,C,Third,woman,False,unknown,Cherbourg,yes,True,1,3,0.0,0.0,7.225
male,S,Second,man,True,unknown,Southampton,no,True,0,2,35.0,0.0,26.0
male,S,Second,man,True,D,Southampton,yes,True,1,2,34.0,0.0,13.0
female,Q,Third,child,False,unknown,Queenstown,yes,True,1,3,15.0,0.0,8.0292
male,S,First,man,True,A,Southampton,yes,True,1,1,28.0,0.0,35.5
female,S,Third,child,False,unknown,Southampton,no,False,0,3,8.0,0.0,21.075
female,S,Third,woman,False,unknown,Southampton,yes,False,1,3,38.0,1.0,31.3875
male,C,Third,man,True,unknown,Cherbourg,no,True,0,3,0.0,0.0,7.225
male,S,First,man,True,C,Southampton,no,False,0,1,19.0,0.0,13.0
female,Q,Third,woman,False,unknown,Queenstown,yes,True,1,3,0.0,0.0,7.8792
male,S,Third,man,True,unknown,Southampton,no,True,0,3,0.0,0.0,7.8958
male,C,First,man,True,unknown,Cherbourg,no,True,0,1,40.0,0.0,27.7208
female,C,First,woman,False,B,Cherbourg,yes,False,1,1,0.0,1.0,13.0
female,Q,Third,woman,False,unknown,Queenstown,yes,True,1,3,0.0,0.0,7.75
male,S,Second,man,True,unknown,Southampton,no,True,0,2,66.0,0.0,10.5
